id;first_name;last_name;type;email;phone;address_line_1;address_line_2;city;country
1;Lester;Cartwright;BUSINESS;"f@`dSH).2=Sf";(823) 907-5716 x712;showboat above duh;nudge;Lake Opalland;Netherlands
2;Nedra;Abbott;INDIVIDUAL;"gkD~@G.&P'V";659.817.5850 x7182;surprisingly passport;underplay;Stockton;Pitcairn Islands
3;Makayla;Gleason;BUSINESS;"u@K;Y.)J";952.349.4981 x911;ew whereas queasily;among partial tapioca;Considinefort;Grenada
4;Dangelo;Kilback;INDIVIDUAL;"dT];@1j-.p&|d|";(636) 440-0553 x869;amidst instead;institutionalize hippodrome;Stiedemannchester;Pakistan
5;Joana;Hahn;BUSINESS;"&Ws@&4:X.]CwZ";(424) 553-9536;lace zowie;around reference bashfully;Schaumburg;Saint Barthelemy
6;Cindy;Schiller;INDIVIDUAL;"+5R|If@Nn,%5.c553";373-601-3800;restfully too mid;uncommon whereas midst;Rodrigohaven;Haiti
7;Montana;Auer;BUSINESS;"&-*){@Lcl3b!.Cf(mN{";824-455-7870;supposing;frugal;Enosville;Mozambique
8;Annie;Lowe;BUSINESS;"_=4@;!ho.wBB?B/";1-791-236-4989 x1351;writ;mosh;Gary;Bonaire, Sint Eustatius and Saba
9;Noel;Okuneva;BUSINESS;"O^&@.bzOyZ.a";413.739.6494 x4392;burgeon pfft;meanwhile wonderful circa;Lednerstead;Micronesia
10;Abbey;Shields;INDIVIDUAL;"FQ+/)}@w$#_.&WMz";(799) 278-9009 x37561;behind ugh;gah phew;North Darryl;Nauru
